Simulated Games:,LeBron wins:,Jordan wins:,Lebron score,jordan score,LeBron 3PPGG,Jordan 3PPG,LJ Total Reb,MJ Total Reb,LeBron Blocks,Jordan Blocks,LeBron Steals,Jordan Steals
16,13,3,12.0668668301739,14.186904629618937,0.7861264087082016,0.24351799131219748,0.47161293790074377,-0.47161293790074377,0.5058973897057788,0.4278113552824833,0.7477073419825271,1.1253885740211222
17,14,3,14.74785323067362,1.7973115323681625,0.37978829892640076,0.03324258065024115,-0.6645331473206775,0.6645331473206775,0.41968701627562444,0.10884465079694595,0.026885703836885162,1.7922136396218658
18,15,3,12.015475541791826,11.648401299031303,0.9232464200708351,0.25168304842051764,0.3506997954126359,-0.3506997954126359,0.39965334650002604,0.35930128078716494,0.7840596217519171,0.18642646315090006
19,16,3,14.60383911591128,12.343486879293973,0.5888644043319474,0.3821977492184824,0.5947700404037295,-0.5947700404037295,0.2186819539787751,0.37338621794907,1.006666725021493,1.6528322834836402
20,17,3,15.427165929826687,8.985572991323341,0.0649334088808849,0.2908835991564765,1.484866255258877,-1.484866255258877,0.2780017885477903,0.6537640134170193,0.7107913634959764,1.7537662492739092
21,18,3,14.678879023502544,4.309841270748709,0.8570394397229608,0.029320454003091547,0.8737512514471661,-0.8737512514471661,0.3099307694908411,0.45679528353199983,0.12698016383638308,0.9220410922298912
22,19,3,10.894750542308902,12.34860579002276,0.36217459525840767,0.4133271033667615,-1.324893668317766,1.324893668317766,0.48769053697299636,0.5466454105176489,1.0384541392693438,0.20062485923206863
23,20,3,-1.0679401069404375,8.841555272207167,0.8621505978350668,0.4167779975545713,0.2932288924863563,-0.2932288924863563,0.4289385975088552,0.6271262660414613,1.0125493860285903,0.21582755318481894
24,21,3,-1.5308480491271532,3.839059040036057,0.6477496903654993,0.2920527559537184,1.337691315350248,-1.337691315350248,0.26537326573983827,0.5875616409504135,0.6644008862281169,1.8805435261128325
25,21,4,18.02004547524677,9.423366079099496,0.6173879550613564,0.012893136099470124,-0.5324607783181177,0.5324607783181177,0.11195918841367289,0.08396947809559513,0.85706882421336,1.359278564574245
26,21,5,9.41136854689789,1.891123221547183,0.8875430553675283,0.18509866290904642,-0.7587885130664684,0.7587885130664684,0.1263538878751809,0.2498954176758964,0.23413448771270748,1.5333742507402537
27,21,6,1.7389355525734576,-5.930112057797326,0.08290582211382182,0.18464497656225748,-1.9051033951525795,1.9051033951525795,0.48184524021557196,0.6476284679851649,0.2352223008242367,0.5150505383627999
28,22,6,0.16817077281009096,2.3852209689822104,0.8456969050098739,0.21837240723063667,-2.2089235004515153,2.2089235004515153,0.2529061590753311,0.08131206405409255,1.0180367198627351,1.1805871133340924
29,22,7,8.559782756689007,13.03796641745113,0.9324377108106894,0.1507510560789307,-2.2925529721763596,2.2925529721763596,0.11168184916578823,0.6056481477218227,0.2847018658887739,0.25301514276774784
